question,answers
Công ty có quyền quy định lịch nghỉ hàng năm không?,"Có, công ty có quyền quy định lịch nghỉ hàng năm sau khi tham khảo ý kiến của BCH công đoàn cơ sở và phải thông báo trước cho mọi người trong công ty."
Nếu công ty không thông báo lịch nghỉ hàng năm thì sao?,"Công ty có trách nhiệm thông báo lịch nghỉ hàng năm cho công nhân viên. Nếu công ty không thông báo, công nhân viên có quyền yêu cầu công ty thông báo."
Nếu công nhân viên không xin phép nghỉ phép năm mà tự ý nghỉ thì sao?,Công nhân viên tự ý nghỉ phép năm có thể bị kỷ luật theo quy định của công ty.
Nếu công nhân viên nghỉ phép năm mà không được hưởng nguyên lương thì sao?,"Công nhân viên nghỉ phép năm phải được hưởng nguyên lương. Nếu công ty không thanh toán nguyên lương, công nhân viên có quyền yêu cầu công ty thanh toán."
Nếu công nhân viên có ý kiến về quy định nghỉ phép năm thì có thể làm gì?,Công nhân viên có thể đề xuất ý kiến về quy định nghỉ phép năm với công ty thông qua BCH công đoàn cơ sở hoặc trực tiếp với ban lãnh đạo công ty.
Nghỉ việc riêng là gì?,Nghỉ việc riêng là nghỉ không hưởng lương.
Khi nào cần xin phép nghỉ việc riêng?,Cần xin phép nghỉ việc riêng trước 1 ngày nếu nghỉ liên tục từ 1 đến 2 ngày.<br> Cần xin phép nghỉ việc riêng trước 3 ngày nếu nghỉ liên tục từ 3 ngày trở lên.
Làm thế nào để xin phép nghỉ việc riêng?,Cần viết đơn xin nghỉ phép và nộp cho chủ quản đơn vị ký duyệt.
Có thể nghỉ việc riêng liên tục quá 30 ngày không?,"Không thể nghỉ việc riêng liên tục quá 30 ngày. Nếu cần nghỉ quá 30 ngày, cần viết liên lạc nội bộ giải trình lý do. Nếu chủ quản bộ phận không đồng ý, người lao động phải xin thôi việc."
Trong trường hợp nào được nghỉ việc riêng không hưởng lương 1 ngày?,"Được nghỉ việc riêng không hưởng lương 1 ngày khi có các trường hợp sau:<br> Ông nội, bà nội, ông ngoại, bà ngoại chết.<br> Bố hoặc mẹ kết hôn.<br> Anh, chị, em ruột kết hôn."
Cần cung cấp những giấy tờ gì khi xin nghỉ việc riêng vì lý do tang gia?,Cần cung cấp giấy chứng tử của người thân đã mất.
Nghỉ phép bệnh là gì?,Nghỉ phép bệnh là nghỉ không hưởng lương.
Khi nào cần xin phép nghỉ phép bệnh?,Cần xin phép nghỉ phép bệnh khi bạn bị ốm và cần nghỉ làm để điều trị.
Làm thế nào để xin phép nghỉ phép bệnh?,"Cần đến cơ sở khám chữa bệnh để được khám và lấy giấy tờ.<br> Viết đơn xin nghỉ phép bệnh và nộp cho chủ quản đơn vị ký duyệt.<br> Nộp đầy đủ các giấy tờ liên quan cho Trợ lý nhân sự, bao gồm:<br> Giấy kiểm tra y tế.<br> Đơn thuốc có đóng dấu của Cơ sở khám chữa bệnh."
Có thể nghỉ phép bệnh liên tục quá 90 ngày không?,"Không thể nghỉ phép bệnh liên tục quá 90 ngày. Nếu cần nghỉ quá 90 ngày, bạn cần phải xin thôi việc."
Nếu không nộp đủ giấy tờ liên quan thì sao?,Bạn có thể bị kỷ luật theo quy định của công ty.
Nếu tôi bị ốm vào ngày nghỉ cuối tuần thì có được tính là nghỉ phép bệnh không?,"Không, ngày nghỉ cuối tuần không được tính là nghỉ phép bệnh."
Nếu tôi bị ốm và phải nhập viện thì có cần xin phép nghỉ phép bệnh không?,"Có, bạn vẫn cần xin phép nghỉ phép bệnh."
Nếu tôi bị ốm nhưng không có giấy tờ chứng minh thì có được nghỉ phép bệnh không?,"Không, bạn cần phải có giấy tờ chứng minh để được nghỉ phép bệnh."
Nếu tôi nghỉ phép bệnh nhưng vẫn đi làm việc thì sao?,Bạn có thể bị kỷ luật theo quy định của công ty.
Nghỉ phép tai nạn lao động là gì?,Nghỉ phép tai nạn lao động là nghỉ có hưởng lương.
Khi nào được hưởng nghỉ phép tai nạn lao động?,Bạn được hưởng nghỉ phép tai nạn lao động khi bạn bị tai nạn trong khi làm việc hoặc trong giờ làm việc.
Thời gian nghỉ phép tai nạn lao động được tính như thế nào?,"Nếu thời gian nghỉ phép tai nạn lao động không quá 30 ngày, bạn sẽ được hưởng nguyên lương.<br> Nếu thời gian nghỉ phép tai nạn lao động vượt quá 30 ngày, bạn sẽ được hưởng 75% mức lương từ ngày thứ 31 trở đi."
Cần làm gì để được nghỉ phép tai nạn lao động?,"Cần báo cáo ngay cho chủ quản đơn vị về vụ tai nạn.<br> Đi khám và lấy giấy tờ tại cơ sở khám chữa bệnh.<br> Viết đơn xin nghỉ phép tai nạn lao động và nộp cho chủ quản đơn vị ký duyệt.<br> Nộp đầy đủ các giấy tờ liên quan, bao gồm:<br> Giấy chứng nhận tai nạn lao động.<br> Giấy kiểm tra y tế.<br> Giấy tờ chứng minh chi phí điều trị (nếu có)."
Nếu nghỉ phép tai nạn lao động vượt quá 30 ngày thì phải làm gì?,"Nếu nghỉ phép tai nạn lao động vượt quá 30 ngày, bạn cần phải có giấy chứng nhận ra viện của bệnh viện.<br> Sau khi ra viện, bạn có thể được hỗ trợ chuyển đổi công việc nhẹ nhàng hơn phù hợp với thể lực."
Nếu tôi bị tai nạn lao động nhưng không có giấy tờ chứng minh thì có được nghỉ phép tai nạn lao động không?,"Không, bạn cần phải có giấy tờ chứng minh để được nghỉ phép tai nạn lao động."
Nghỉ phép cưới là gì?,Nghỉ phép cưới là nghỉ có hưởng lương.
Ai được hưởng nghỉ phép cưới?,"Bản thân công nhân viên kết hôn được nghỉ 03 ngày.<br> Con ruột, con nuôi kết hôn thì được nghỉ 1 ngày."
Cần làm gì để được nghỉ phép cưới?,Viết đơn xin nghỉ phép cưới và nộp cho chủ quản đơn vị ký duyệt.<br> Nộp kèm theo Giấy chứng nhận đăng ký kết hôn.
Có thể nghỉ phép cưới nhiều hơn quy định không?,"Có thể, nhưng cần phải có sự đồng ý của chủ quản đơn vị."
Nếu không có Giấy chứng nhận đăng ký kết hôn thì có được nghỉ phép cưới không?,"Không, bạn cần phải có Giấy chứng nhận đăng ký kết hôn để được nghỉ phép cưới."
Nếu tôi kết hôn lần hai thì có được nghỉ phép cưới không?,"Có, bạn vẫn được nghỉ phép cưới."
Nghỉ phép tang là gì?,Nghỉ phép tang là nghỉ có hưởng lương.
Ai được hưởng nghỉ phép tang?,Người lao động được nghỉ phép tang khi có người thân sau đây qua đời:<br> Bố mẹ (cả bên vợ hoặc bên chồng).<br> Bố mẹ nuôi (cả bên vợ hoặc bên chồng).<br> Vợ hoặc chồng.<br> Con.
Thời gian nghỉ phép tang được tính như thế nào?,Người lao động được nghỉ phép tang 3 ngày.
Cần làm gì để được nghỉ phép tang?,Viết đơn xin nghỉ phép tang và nộp cho chủ quản đơn vị ký duyệt.<br> Nộp kèm theo giấy chứng tử của người thân đã mất.
Có thể nghỉ phép tang nhiều hơn quy định không?,"Có thể, nhưng cần phải có sự đồng ý của chủ quản đơn vị."
Nếu không có giấy chứng tử thì có được nghỉ phép tang không?,"Không, bạn cần phải có giấy chứng tử để được nghỉ phép tang."
Nghỉ phép thai sản và khám thai có hưởng lương không?,"Nghỉ phép thai sản và khám thai là nghỉ không hưởng lương. Tuy nhiên, sau khi sinh, bạn có thể được hưởng trợ cấp thai sản từ Bảo hiểm xã hội nếu bạn có đủ điều kiện và cung cấp đầy đủ giấy tờ."
Lao động nữ được nghỉ thai sản bao lâu?,"Lao động nữ được nghỉ thai sản trước và sau khi sinh con là 6 tháng. Nếu sinh đôi hoặc sinh ba trở lên, bạn sẽ được nghỉ thêm 1 tháng cho mỗi con từ con thứ hai trở đi. Thời gian nghỉ trước khi sinh tối đa không quá 2 tháng."
Lao động nữ có thể đi làm sớm sau khi nghỉ thai sản không?,"Có, bạn có thể đi làm sớm sau khi nghỉ thai sản ít nhất 4 tháng nếu có nhu cầu và đáp ứng các điều kiện sau:<br> Có xác nhận của cơ sở khám bệnh, chữa bệnh có thẩm quyền về việc đi làm sớm không ảnh hưởng đến sức khỏe của bạn.<br> Được người sử dụng lao động đồng ý."
"Nếu đi làm sớm sau khi nghỉ thai sản, lao động nữ có được hưởng trợ cấp thai sản không?","Có, bạn vẫn sẽ được hưởng trợ cấp thai sản theo quy định của pháp luật về bảo hiểm xã hội. Ngoài ra, bạn còn được hưởng lương cho những ngày làm việc."
Lao động nữ được nghỉ đi khám thai bao nhiêu lần?,"Lao động nữ mang thai được nghỉ đi khám thai 5 lần, mỗi lần 1 ngày, tổng cộng là 5 ngày."
Cần những giấy tờ gì để hưởng trợ cấp thai sản?,"Để hưởng trợ cấp thai sản, bạn cần chuẩn bị các giấy tờ sau:<br> Đơn đề nghị hưởng trợ cấp thai sản.<br> Sổ khám thai.<br> Giấy chứng sinh của con.<br> Giấy xác nhận nghỉ thai sản của cơ quan.<br> Sổ bảo hiểm xã hội."
Nộp hồ sơ hưởng trợ cấp thai sản ở đâu?,Bạn có thể nộp hồ sơ hưởng trợ cấp thai sản tại:<br> Cơ quan bảo hiểm xã hội nơi bạn đang tham gia đóng bảo hiểm.<br> Doanh nghiệp nơi bạn đang làm việc (nếu doanh nghiệp có ủy quyền cho cơ quan bảo hiểm xã hội chi trả trợ cấp thai sản).
Thời gian giải quyết hồ sơ hưởng trợ cấp thai sản là bao lâu?,Thời gian giải quyết hồ sơ hưởng trợ cấp thai sản là 30 ngày kể từ ngày nhận đủ hồ sơ hợp lệ.
Những trường hợp nào được giảm thời gian làm việc?,"Mức giảm thời gian làm việc là bao nhiêu?<br> Mức lương của người lao động khi được giảm thời gian làm việc?<br> Những trường hợp được giảm thời gian làm việc:<br> Công nhân viên nữ mang thai từ tháng thứ 7 trở lên.<br> Công nhân viên nữ chăm sóc con nhỏ dưới 1 tuổi.<br> Người lao động cao tuổi: nam đủ 60 tuổi, nữ đủ 55 tuổi trở lên.<br> Mức giảm thời gian làm việc: 1 tiếng/ngày.<br> Mức lương của người lao động khi được giảm thời gian làm việc vẫn được tính là 8 tiếng/ngày."
Thủ tục để được giảm thời gian làm việc?,Cung cấp các chứng từ xác nhận liên quan:<br> Đối với công nhân viên nữ mang thai: Sổ khám thai hoặc giấy chứng nhận thai sản.<br> Đối với công nhân viên nữ chăm sóc con nhỏ dưới 1 tuổi: Giấy khai sinh của con.<br> Đối với người lao động cao tuổi: Chứng minh nhân dân/Căn cước công dân.<br> Trình báo lên Bộ phận Tài nguyên nhân lực xét duyệt.
Khi nào công nhân viên nữ mang thai được chuyển đổi sang công việc nhẹ hơn?,Thủ tục để được chuyển đổi công việc?<br> Công nhân viên nữ mang thai được chuyển đổi sang công việc nhẹ hơn sau khi thông báo mang thai và cung cấp đầy đủ chứng từ liên quan.<br> Thủ tục để được chuyển đổi công việc:<br> Cung cấp sổ khám thai hoặc giấy chứng nhận thai sản.<br> Nộp đơn đề nghị chuyển đổi công việc cho Bộ phận Tài nguyên nhân lực.
Công nhân viên nữ mang thai được hưởng những ưu tiên gì?,Công nhân viên nữ mang thai được cấp thẻ thai sản theo quy trình quản lí CNV mang thai.<br> Được ưu tiên để xe ở tầng một của nhà xe.<br> Khi gửi xe phải mang kèm thẻ thai sản.
"Khi gặp vấn đề về sức khỏe trong giờ làm việc, công nhân viên có thể làm gì?","Khi gặp vấn đề về sức khỏe trong giờ làm việc, công nhân viên có thể đến phòng y tế nghỉ ngơi."
Tiền thưởng cuối năm được tính như thế nào?,Khi nào được phát tiền thưởng cuối năm?<br> Tiền thưởng cuối năm được tính dựa vào kết quả sản xuất kinh doanh của công ty.<br> Tiền thưởng được phát trước ngày nghỉ Tết Âm lịch.
Mức phụ cấp cho công nhân viên nuôi con nhỏ dưới 6 tuổi là bao nhiêu?,Mức phụ cấp là 50.000 đồng/tháng/con.
Đơn vị tính phụ cấp là gì?,Đơn vị tính phụ cấp là gia đình.
Phụ cấp được tính căn cứ vào yếu tố nào?,Phụ cấp được tính căn cứ trên số con của mỗi gia đình.
Ai là người được hưởng phụ cấp nuôi con nhỏ dưới 6 tuổi?,"Phụ cấp nuôi con nhỏ dưới 6 tuổi được áp dụng cho tất cả công nhân viên đang làm việc tại công ty, có con nhỏ dưới 6 tuổi."
Cần cung cấp những giấy tờ gì để hưởng phụ cấp nuôi con nhỏ dưới 6 tuổi?,Các giấy tờ cần thiết bao gồm:<br> Giấy khai sinh của con<br> Sổ hộ khẩu của gia đình<br> Đơn đề nghị hưởng phụ cấp nuôi con nhỏ (theo mẫu của công ty)
"Nếu trong tháng có con mới sinh, thì thời điểm hưởng phụ cấp từ khi nào?",Phụ cấp được hưởng từ tháng có con mới sinh.
"Nếu con em đã đủ 6 tuổi, thì thời điểm hưởng phụ cấp kết thúc từ khi nào?",Phụ cấp được hưởng đến hết tháng con em đủ 6 tuổi.
"Nếu công nhân viên nghỉ việc, thì thời điểm hưởng phụ cấp kết thúc từ khi nào?",Phụ cấp được hưởng đến hết tháng công nhân viên nghỉ việc.
"Nếu có thắc mắc về phụ cấp nuôi con nhỏ dưới 6 tuổi, thì liên hệ với ai?","Mọi thắc mắc về phụ cấp nuôi con nhỏ dưới 6 tuổi, vui lòng liên hệ với bộ phận Nhân sự của công ty.<br> Công thức tính phụ cấp cho con nhỏ<br> Phụ cấp cho con nhỏ = Mức phụ cấp/con x Số con<br> Trong đó:<br> Mức phụ cấp/con: là mức phụ cấp được quy định bởi công ty hoặc theo luật lao động hiện hành.<br> Số con: là số con nhỏ dưới 6 tuổi của công nhân viên.<br> Ví dụ:<br> Mức phụ cấp cho con nhỏ được quy định là 50.000 đồng/con/tháng.<br> Một công nhân viên có 2 con nhỏ dưới 6 tuổi.<br> Vậy, số tiền phụ cấp cho con nhỏ của công nhân viên này là:<br> 50.000 đồng/con/tháng x 2 con = 100.000 đồng/tháng"
"Mức phụ cấp cho công việc nặng nhọc, nguy hiểm, độc hại?",Mức phụ cấp: 5% mức lương căn bản.
Khi phát hiện tiền lương thiếu hụt phải làm gì?,Lập tức thông báo cho bộ phận Tài nguyên nhân lực.<br> Sau khi xem xét xác nhận sẽ được bù phát lương vào tháng sau.
Công ty có cung cấp bữa ăn trưa cho công nhân viên không?,Công ty cung cấp bữa ăn trưa miễn phí cho công nhân viên.
Mức phụ cấp tăng ca?,Tăng ca thường 1.5 giờ: 7.500 VND/lần.<br> Tăng ca từ 2 giờ trở lên: 15.000 VND/lần.
"Công ty có tham gia bảo hiểm xã hội, y tế, thất nghiệp cho công nhân viên không?","Công ty tham gia bảo hiểm xã hội, y tế, thất nghiệp cho toàn thể công nhân viên."
Công ty có tổ chức khám sức khỏe định kỳ cho công nhân viên không?,Công ty tổ chức khám sức khỏe định kỳ 2 lần/năm cho công nhân viên.
Lao động nữ được nghỉ ngơi như thế nào trong thời gian hành kinh?,"Mức hưởng phụ cấp nếu không nghỉ ngơi?<br> Lao động nữ được nghỉ 30 phút/ngày trong thời gian hành kinh, ít nhất 3 ngày/tháng.<br> Trường hợp không nghỉ ngơi, lao động nữ được trả thêm tiền lương tối đa 1.5 giờ lương, trả cùng với kỳ lương tháng."
Ai là người chịu trách nhiệm đánh giá công nhân viên trong thời gian thử việc?,Tiêu chí đánh giá công nhân viên trong thời gian thử việc?<br> Hậu quả nếu không đạt yêu cầu trong thời gian thử việc?<br> Chủ quản là người chịu trách nhiệm đánh giá công nhân viên trong thời gian thử việc.<br> Tiêu chí đánh giá dựa trên hiệu quả công việc.<br> Hậu quả nếu không đạt yêu cầu: không được ký kết hợp đồng lao động chính thức.
Căn cứ vào đâu để xét thăng chức?,Ai là người đề bạt và quyết định thăng chức?<br> Căn cứ vào nhu cầu tổ chức của từng đơn vị và hiệu suất làm việc ưu tú vượt trội.<br> Quy trình:<br> Chủ quản đơn vị đề bạt.<br> Chủ quản có thẩm quyền ký duyệt.
Công ty mong muốn công nhân viên có thái độ làm việc như thế nào?,"Có trách nhiệm, tinh thần chuyên nghiệp, tận tâm tận lực với nghề, kết hợp đạo đức nghề nghiệp và sự chân thành."
Quy định về trang phục và cử chỉ của công nhân viên?,"Trang phục gọn gàng chỉnh tề, đeo thẻ công ty.<br> Giữ thái độ lễ phép."
Quy định về quẹt thẻ chấm công?,Quẹt thẻ theo thời gian làm việc.<br> Sửa đổi quẹt thẻ mà chưa được sự cho phép sẽ bị xem là gian lận công ty và xử lý theo quy định.
Quy định về sử dụng nhà ăn?,Tuân thủ quy định của nhà ăn.<br> Không đến nhà ăn sớm để dùng cơm.<br> Ngoại trừ trường hợp đặc biệt và được cấp trên đồng ý.
Thủ tục khi mất thẻ cảm ứng?,Điền phiếu mất thẻ cảm ứng và phiếu xin cấp lại thẻ.<br> Bộ phận Tài nguyên nhân lực sẽ cấp lại thẻ mới.
Trách nhiệm của công nhân viên khi thôi việc?,"Phải trả lại thẻ cảm ứng, thẻ đeo và sổ tay CNV cho công ty."
Quy định về việc rời khỏi vị trí làm việc?,Cần được sự đồng ý của chủ quản.
Quy định về việc gặp gỡ bạn bè trong giờ làm việc?,Không được tự ý rời khỏi xưởng để gặp gỡ bạn bè.<br> Trường hợp đặc biệt cấp bách cần được sự đồng ý của chủ quản đơn vị.
Có những hành vi nào vi phạm nội quy công ty sẽ bị kéo dài thời gian nâng lương hoặc cách chức?,"Các hành vi sau đây vi phạm nội quy công ty sẽ bị kéo dài thời gian nâng lương hoặc cách chức:<br> Giúp người khác bấm thẻ, quét thẻ hoặc nhờ người khác bấm thẻ, quét thẻ.<br> Buôn bán bất kỳ mặt hàng nào trong công ty.<br> Để người khác sử dụng thẻ đeo và thẻ cảm ứng, giúp cho người đó có thể ra vào xưởng dễ dàng hoặc mượn thẻ đeo, thẻ cảm ứng của người khác để vào xưởng.<br> Tự ý thay đổi lưu trình sản xuất và các lưu trình nghiệp vụ khác, tự ý sửa đổi phương pháp sử dụng thao tác máy móc và phương thức sửa chữa máy móc.<br> Trong công ty có hành vi tiếp tay hướng dẫn và uy hiếp người khác phạm tội.<br> Trong thời gian làm việc, trên người có mùi rượu bia hay thông qua đo nồng độ cồn xác nhận có uống rượu bia.<br> Mang vật dễ cháy vào khu vực sản xuất hoặc các khu vực thuộc phạm vi của công ty có bảng “cấm lửa” hoặc “khu vực cấm hút thuốc”.<br> Xúi dục hoặc gây bất mãn, mất trật tự, chống đối hoặc khiêu khích, có hành vi uy hiếp, làm nhục dưới bất cứ hình thức nào giữa người lao động với nhau hoặc giữa người lao động với công ty.<br> Cố ý làm rối loạn việc hoạt động và kinh doanh của Công ty.<br> Hút thuốc trong khu vực cấm hút thuốc.<br> Lưu ý:<br> Hình thức kéo dài thời gian nâng lương hoặc cách chức chỉ áp dụng cho những hành vi vi phạm có mức độ nghiêm trọng.<br> Ngoài ra, bạn cũng có thể tham khảo thêm các quy định khác trong Nội quy lao động của công ty Can Sports Việt Nam."
Khi nào hình thức kéo dài thời gian nâng lương hoặc cách chức có hiệu lực?,Hình thức kéo dài thời gian nâng lương hoặc cách chức có hiệu lực kể từ ngày công bố.
"Khi bị kéo dài thời gian nâng lương hoặc cách chức, công nhân viên có quyền gì?",Công nhân viên có quyền:<br> Giải thích về hành vi của mình.<br> Yêu cầu xem xét lại quyết định xử lý kỷ luật.<br> Khiếu nại theo quy định của pháp luật lao động.
